comment,comment_id,like_count,reply_count,published_at,parent_id,video_id,title,channel,publish_date,views,likes,comments_count
"So , do we have a forest in Ghana  by name WONTUMI FOREST ?  WOW,  GHANAIANS ARE NOT SERIOUS  AT ALL  COST",UgwwfkJtgmu2XWedKG54AaABAg,0,0,2024-10-17T19:17:10Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Backwards society of leaders... polluting your own water bodies and calling for God's intervention. This is a man made disaster and man must take it's own action. It has nothing to do with God.????,UgwU_kn1hnQ020jABdx4AaABAg,2,1,2024-10-15T19:08:41Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Exactly ??,UgwU_kn1hnQ020jABdx4AaABAg.A9cUk3_TA8xA9jXMYU8VHm,0,0,2024-10-18T12:46:14Z,UgwU_kn1hnQ020jABdx4AaABAg,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
kpaako???,UgzDOCWqsoEA5kaCZpN4AaABAg,0,0,2024-10-13T04:05:41Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
YOU CAN'T DO THE RIVERS AND LEAVE THE FOREST UNTIL ANOTHER TIME. IT WILL BE BETTER IF YOU DON'T START AT ALL. THE PRESSURE THAT WILL COME ON THE FOREST EVEN IF ONE WEEK IS ALLOWED WILL BE VERY DISASTROUS. UNLESS YOU WANT GHANAIANS TO KNOW THAT SOME ARE BEING PROTECTED.,Ugw-i4E2ucWcPSsKV6J4AaABAg,1,0,2024-10-12T16:35:54Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
KUDOS TO THE GHANA ARM FORCES.,UgyRdjf8ggGBAVA02aV4AaABAg,1,0,2024-10-12T16:26:58Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
WHICH GALAMSEY SITES ARE EXEMPTED FROM THIS WAR? WHICH ONES ARE YOU PROTECTING?,UgwRLZLWt6YgzkXXueh4AaABAg,1,0,2024-10-12T16:21:05Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
All be settings they are not stopping anything ??,UgxCkF3eAl_ad6dxapJ4AaABAg,1,0,2024-10-12T12:51:24Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
knee jerk reaction,Ugy1857cxylro24HO1J4AaABAg,0,0,2024-10-12T12:21:09Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Your title should read ‘ pretend war’ We are not fooled. What about the rest of the rivers?  You so called media people are easily manipulated.,UgyOvI1NZSgBeuJr9kl4AaABAg,0,0,2024-10-12T11:23:43Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Why hasn't the Government invited the UN to do a National Assessment ?,Ugz4KXriu3EqeMbugUx4AaABAg,0,0,2024-10-12T07:36:03Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
My question is when was this Small Scale Miners Association formed  And where have they been all this while?,Ugxiq_EhX2vGZ5aJe_54AaABAg,5,0,2024-10-12T07:15:37Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Congratulations to the teachers,UgyNCY43THQI3i9vil54AaABAg,1,0,2024-10-12T07:13:10Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
What are the rest of the military doing in the barracks. 100 soljers my foot. AKUFO ADDO thinks all of us are stupid,UgyZlHW67Jv0UCXVkCp4AaABAg,2,1,2024-10-12T05:07:11Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
They keep the numbers small so that the 'galamseyers' can play merry-go-round with them.,UgyZlHW67Jv0UCXVkCp4AaABAg.A9UG35y59FQA9lR3GaPBDV,0,0,2024-10-19T06:29:39Z,UgyZlHW67Jv0UCXVkCp4AaABAg,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
"WUNTUMI is destroying water bodies killing innocent babies. Prof, sent report to AKUFO ADDO that contain all the criminals. You are here praying for what?",Ugw9P_NeZRkmzuKQf4h4AaABAg,0,0,2024-10-12T05:02:48Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
"The British and US Army fought for many years against their enemies to safe their country. So , this is the time Ghana army has  to conquer their enemies.",UgyKKqm5vMO7okebDat4AaABAg,2,0,2024-10-12T04:03:16Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
I don't think playing on this galamsay is not the solution because what's going on is not spiritual it's something fiscal we are all seeing on the ground we need to hold the bull by the horns. We no the people who are doing the galamsay and we have to deal with them fiscally but not prayers.,UgxDav0FpbSAwDhJ08R4AaABAg,1,2,2024-10-12T01:42:55Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
I was trying to say prayers was not the solution but not playing,UgxDav0FpbSAwDhJ08R4AaABAg.A9Ttg08r1D-A9Tu8JKr61d,0,0,2024-10-12T01:46:55Z,UgxDav0FpbSAwDhJ08R4AaABAg,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
@@josephdarko5407next time you can just go on edit and just fix it bro.,UgxDav0FpbSAwDhJ08R4AaABAg.A9Ttg08r1D-A9bujqcQo50,0,0,2024-10-15T13:45:21Z,UgxDav0FpbSAwDhJ08R4AaABAg,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Akufo addo always giving bribe to people to stop doing the right things just to do things that favors him. Wicked president,UgwA5wdKmKop5AameUR4AaABAg,0,0,2024-10-12T01:28:57Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Again don't cover any governments officials or any leaders doing galamsay,UgxIwhOE3Mh8TjRk45V4AaABAg,2,0,2024-10-12T00:59:29Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
Please go to wotumi forest and make sure you  stop him from damaging our forest,UgxO8TjXw-Xe1dJ6QEB4AaABAg,1,1,2024-10-12T00:57:35Z,,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
"That's what Npp are NDC, all this galamysay going on are own by the politicians let forget it will not go anywhere ??. Vote them out",UgxO8TjXw-Xe1dJ6QEB4AaABAg.A9ToUxfjqM6A9U_2g-QQme,0,0,2024-10-12T08:01:53Z,UgxO8TjXw-Xe1dJ6QEB4AaABAg,m3Q-UZQF56M,Galamsey Fight: Joint task force declares relentless war on illegal miners | The Pulse (11-10-24),JoyNews,10/11/2024 19:35,10422,65,28
